id,full_name,abbreviation,nickname,city,state,year_founded,TEAM_NAME,TEAM_ID,GP,W,L,W_PCT,MIN,SEASON,E_OFF_RATING,E_DEF_RATING,E_NET_RATING,E_PACE,E_AST_RATIO,E_OREB_PCT,E_DREB_PCT,E_REB_PCT,E_TM_TOV_PCT,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,E_OFF_RATING_RANK,E_DEF_RATING_RANK,E_NET_RATING_RANK,E_AST_RATIO_RANK,E_OREB_PCT_RANK,E_DREB_PCT_RANK,E_REB_PCT_RANK,E_TM_TOV_PCT_RANK,E_PACE_RANK
1610612741,chicago bulls,chi,bulls,chicago,illinois,1966,chicago bulls,1610612741,71,34,37,0.479,3463.0,2023-24,112.1,113.3,-1.2,98.7,18.2,0.248,0.761,0.498,0.122,2,20,20,20,1,19,17,20,23,14,12,17,5,28
1610612741,chicago bulls,chi,bulls,chicago,illinois,1966,chicago bulls,1610612741,82,40,42,0.488,3981.0,2022-23,111.7,109.4,2.3,100.6,18.1,0.201,0.778,0.494,0.132,1,19,19,19,4,21,5,9,17,28,2,20,9,21
1610612741,chicago bulls,chi,bulls,chicago,illinois,1966,chicago bulls,1610612741,82,46,36,0.561,3946.0,2021-22,111.0,111.1,-0.1,100.4,17.8,0.204,0.783,0.495,0.128,1,12,12,12,24,12,23,19,17,28,4,17,7,17
1610612742,dallas mavericks,dal,mavericks,dallas,texas,1980,dallas mavericks,1610612742,70,41,29,0.586,3360.0,2023-24,115.7,113.8,1.9,102.7,18.4,0.225,0.746,0.485,0.121,22,12,10,12,29,6,21,12,21,24,23,26,3,6
1610612742,dallas mavericks,dal,mavericks,dallas,texas,1980,dallas mavericks,1610612742,82,38,44,0.463,3986.0,2022-23,114.3,114.0,0.3,98.8,17.4,0.18,0.755,0.464,0.122,1,21,21,21,3,6,24,16,24,30,21,30,2,28
1610612742,dallas mavericks,dal,mavericks,dallas,texas,1980,dallas mavericks,1610612742,82,52,30,0.634,3951.0,2021-22,110.5,106.8,3.7,97.5,17.8,0.213,0.78,0.496,0.128,1,5,5,5,19,14,6,7,18,24,8,16,8,30
1610612743,denver nuggets,den,nuggets,denver,colorado,1976,denver nuggets,1610612743,71,50,21,0.704,3413.0,2023-24,115.4,111.3,4.1,99.0,20.7,0.256,0.754,0.512,0.126,2,2,2,2,18,7,10,7,2,7,18,9,9,27
1610612743,denver nuggets,den,nuggets,denver,colorado,1976,denver nuggets,1610612743,82,53,29,0.646,3951.0,2022-23,115.0,111.7,3.3,100.3,20.5,0.248,0.764,0.513,0.144,1,4,4,4,25,4,17,5,1,11,12,5,23,23
1610612743,denver nuggets,den,nuggets,denver,colorado,1976,denver nuggets,1610612743,82,48,34,0.585,3961.0,2021-22,111.7,110.3,1.4,99.9,20.0,0.219,0.783,0.51,0.144,1,10,10,10,8,6,18,14,1,20,6,9,25,20
1610612744,golden state warriors,gsw,warriors,golden state,california,1946,golden state warriors,1610612744,70,36,34,0.514,3390.0,2023-24,114.6,113.4,1.1,102.2,19.9,0.277,0.76,0.519,0.138,22,18,18,18,23,11,18,16,8,3,13,3,21,11
1610612744,golden state warriors,gsw,warriors,golden state,california,1946,golden state warriors,1610612744,82,44,38,0.537,3966.0,2022-23,113.5,111.4,2.1,104.2,20.4,0.244,0.76,0.507,0.155,1,11,11,11,12,9,12,10,2,14,16,10,29,1
1610612744,golden state warriors,gsw,warriors,golden state,california,1946,golden state warriors,1610612744,82,53,29,0.646,3946.0,2021-22,110.5,103.9,6.5,100.7,19.5,0.228,0.787,0.516,0.148,1,3,3,3,24,15,1,3,3,18,2,4,29,14
1610612745,houston rockets,hou,rockets,houston,texas,1967,houston rockets,1610612745,70,35,35,0.5,3385.0,2023-24,111.5,110.2,1.3,101.6,17.8,0.251,0.765,0.507,0.126,22,19,19,19,24,20,7,15,28,10,11,12,8,14
1610612745,houston rockets,hou,rockets,houston,texas,1967,houston rockets,1610612745,82,22,60,0.268,3951.0,2022-23,107.7,116.9,-9.2,101.8,16.0,0.302,0.758,0.527,0.158,1,28,28,28,25,28,29,29,30,1,20,1,30,13
1610612745,houston rockets,hou,rockets,houston,texas,1967,houston rockets,1610612745,82,20,62,0.244,3951.0,2021-22,105.4,114.4,-9.0,103.3,17.1,0.217,0.744,0.479,0.158,1,30,30,30,19,27,30,30,25,22,29,30,30,2
1610612746,los angeles clippers,lac,clippers,los angeles,california,1970,la clippers,1610612746,70,44,26,0.629,3365.0,2023-24,117.0,112.7,4.3,99.6,18.8,0.243,0.746,0.504,0.132,22,6,6,6,28,5,14,5,19,17,22,14,16,23
1610612746,los angeles clippers,lac,clippers,los angeles,california,1970,la clippers,1610612746,82,44,38,0.537,3966.0,2022-23,112.4,112.0,0.3,100.2,17.5,0.229,0.766,0.501,0.141,1,11,11,11,12,13,19,16,23,19,11,17,18,24
1610612746,los angeles clippers,lac,clippers,los angeles,california,1970,la clippers,1610612746,82,42,40,0.512,3956.0,2021-22,107.7,107.5,0.2,100.2,17.7,0.206,0.744,0.483,0.136,1,18,18,18,13,24,8,18,19,27,30,28,13,18
1610612747,los angeles lakers,lal,lakers,los angeles,california,1948,los angeles lakers,1610612747,71,39,32,0.549,3433.0,2023-24,113.7,113.2,0.4,103.0,20.2,0.196,0.758,0.491,0.132,2,15,14,15,4,13,16,19,5,30,15,20,15,4
1610612747,los angeles lakers,lal,lakers,los angeles,california,1948,los angeles lakers,1610612747,82,43,39,0.524,3976.0,2022-23,111.8,111.5,0.3,103.6,17.9,0.228,0.763,0.505,0.134,1,14,14,14,5,19,16,16,18,20,13,12,11,5
1610612747,los angeles lakers,lal,lakers,los angeles,california,1948,los angeles lakers,1610612747,82,33,49,0.402,3996.0,2021-22,107.9,110.9,-3.0,102.3,17.3,0.211,0.758,0.486,0.14,1,23,23,23,1,23,21,23,22,25,22,24,20,5
1610612748,miami heat,mia,heat,miami,florida,1988,miami heat,1610612748,71,39,32,0.549,3413.0,2023-24,111.2,110.2,1.0,98.5,18.9,0.219,0.78,0.495,0.128,2,15,14,15,18,21,8,17,17,26,3,19,11,29
1610612748,miami heat,mia,heat,miami,florida,1988,miami heat,1610612748,82,44,38,0.537,3961.0,2022-23,110.4,110.6,-0.2,98.6,17.8,0.228,0.777,0.492,0.136,1,11,11,11,18,25,9,21,21,21,5,22,13,29
1610612748,miami heat,mia,heat,miami,florida,1988,miami heat,1610612748,82,53,29,0.646,3971.0,2021-22,111.2,106.3,4.9,98.2,18.8,0.235,0.78,0.512,0.147,1,3,3,3,5,10,5,6,6,12,9,8,28,29
1610612749,milwaukee bucks,mil,bucks,milwaukee,wisconsin,1968,milwaukee bucks,1610612749,71,46,25,0.648,3423.0,2023-24,117.3,113.1,4.2,102.6,19.0,0.217,0.77,0.501,0.123,2,5,5,5,14,4,15,6,16,27,5,16,6,7
1610612749,milwaukee bucks,mil,bucks,milwaukee,wisconsin,1968,milwaukee bucks,1610612749,82,58,24,0.707,3966.0,2022-23,112.8,109.4,3.3,102.8,18.1,0.25,0.778,0.524,0.141,1,1,1,1,12,11,4,5,16,9,3,3,19,11
1610612749,milwaukee bucks,mil,bucks,milwaukee,wisconsin,1968,milwaukee bucks,1610612749,82,51,31,0.622,3951.0,2021-22,112.5,109.4,3.1,102.2,17.3,0.23,0.786,0.514,0.131,1,6,6,6,19,4,14,8,21,15,3,5,10,7
1610612750,minnesota timberwolves,min,timberwolves,minnesota,minnesota,1989,minnesota timberwolves,1610612750,71,49,22,0.69,3433.0,2023-24,113.0,106.1,6.9,99.5,19.2,0.234,0.77,0.515,0.142,2,3,4,4,4,16,1,3,13,21,6,7,23,24
1610612750,minnesota timberwolves,min,timberwolves,minnesota,minnesota,1989,minnesota timberwolves,1610612750,82,42,40,0.512,3966.0,2022-23,111.3,111.1,0.2,103.4,18.6,0.215,0.743,0.484,0.147,1,15,15,15,12,23,11,20,10,27,26,26,25,7
1610612750,minnesota timberwolves,min,timberwolves,minnesota,minnesota,1989,minnesota timberwolves,1610612750,82,46,36,0.561,3956.0,2021-22,111.3,109.1,2.1,103.5,18.1,0.244,0.749,0.49,0.138,1,12,12,12,13,9,13,11,12,7,27,20,16,1
1610612751,brooklyn nets,bkn,nets,brooklyn,new york,1976,brooklyn nets,1610612751,71,26,45,0.366,3428.0,2023-24,110.8,113.5,-2.7,99.7,18.9,0.251,0.758,0.496,0.13,2,23,23,23,10,23,19,22,18,9,16,18,13,22
